iter	Logloss	Accuracy
183	0.1352050946	0.9612054167
184	0.135197528	0.9612054167
185	0.1350881679	0.9610146862
186	0.134922549	0.960938394
187	0.134912316	0.9610146862
188	0.134898185	0.9610909784
189	0.1347048191	0.961319855
190	0.1346103227	0.961319855
191	0.1345138753	0.9612817089
192	0.1345113229	0.9612817089
193	0.1344718837	0.9613961472
194	0.1344714543	0.9613961472
195	0.1341967329	0.9615487316
196	0.1341879132	0.9615487316
197	0.1341790342	0.9615868777
198	0.1340631413	0.9615487316
199	0.1340560023	0.9615487316
200	0.1340505866	0.9615487316
201	0.1340408865	0.9615868777
202	0.1338187205	0.9617394621
203	0.1337384307	0.9620064848
204	0.133729783	0.9620446309
205	0.1334417885	0.9621972153
206	0.1334039066	0.9622735075
207	0.1333954131	0.9623116536
208	0.1333862669	0.9623497997
209	0.1333772227	0.9623497997
210	0.1333748278	0.9623497997
211	0.1333742003	0.9623497997
212	0.1333398004	0.9623497997
213	0.1333205496	0.9622353614
214	0.1333176739	0.9622353614
215	0.1333160476	0.9622735075
216	0.1333047165	0.9621972153
217	0.1332701639	0.9621972153
218	0.1332331362	0.9622353614
219	0.1331361759	0.9623879458
220	0.1330994117	0.9624260919
221	0.1330405585	0.9623497997
222	0.1330229894	0.9623497997
223	0.132965395	0.962464238
224	0.1329342709	0.9625023841
225	0.1329010929	0.9625023841
226	0.1328503571	0.9625023841
227	0.1326439759	0.962464238
228	0.132542451	0.9624260919
229	0.1324535578	0.9625405302
230	0.1324144158	0.9625405302
231	0.1324123518	0.9625405302
232	0.1323089507	0.9626168224
233	0.1323061298	0.9626168224
234	0.1322971412	0.9625786763
235	0.1321357725	0.9626168224
236	0.1317663149	0.962845699
237	0.1317637165	0.962845699
238	0.131734546	0.962845699
239	0.1317007886	0.9629982834
240	0.131636353	0.9630364295
241	0.1315561677	0.9629982834
242	0.1314671699	0.9629219912
243	0.1314543446	0.9629601373
244	0.1311833073	0.962845699
245	0.1311204539	0.9630364295
246	0.1310509787	0.9630745756
247	0.1310250054	0.9630745756
248	0.1309903978	0.9630745756
249	0.130985592	0.9630745756
250	0.1308555741	0.9631127217
251	0.1308538308	0.9631127217
252	0.1308407624	0.9631127217
253	0.1308279036	0.9631508678
254	0.1307719972	0.9630745756
255	0.130683907	0.9630745756
256	0.130330814	0.9633797444
257	0.1303298332	0.9633415983
258	0.1302292318	0.9633797444
259	0.1302111601	0.9634560366
260	0.13019834	0.9634941827
261	0.1301351945	0.9635323288
262	0.1301311294	0.9635323288
263	0.1301219423	0.9635323288
264	0.1301029164	0.963608621
265	0.1299906741	0.9635323288
266	0.1299902108	0.9635323288
267	0.1299811507	0.9635323288
268	0.1299787416	0.9635323288
269	0.1299685793	0.9635323288
270	0.1298929761	0.9636467671
271	0.1298927599	0.9636467671
272	0.1298198376	0.9637612054
273	0.1297708175	0.9639137898
274	0.1296947501	0.9638374976
275	0.1296564527	0.9638756437
276	0.1295329946	0.9638374976
277	0.1295151353	0.9639137898
278	0.1294732624	0.9639137898
279	0.1293816477	0.9639519359
280	0.1293274718	0.963990082
281	0.1292985007	0.963990082
282	0.1292902728	0.963990082
283	0.1292710179	0.963990082
284	0.1292162727	0.963990082
285	0.1292048446	0.963990082
286	0.1291342012	0.9639137898
287	0.1290006958	0.9640663742
288	0.1289068892	0.963990082
289	0.1285107135	0.9639519359
290	0.1284672871	0.9640282281
291	0.1283266026	0.9640282281
292	0.1283189675	0.9638756437
293	0.1282808871	0.9638374976
294	0.1282648325	0.9639519359
295	0.1282437003	0.9639519359
296	0.1282213516	0.9639519359
297	0.1282210651	0.9639519359
298	0.1281489305	0.9640663742
299	0.1281385527	0.9640663742
300	0.128118244	0.9641045203
301	0.1278609283	0.9641808125
302	0.127740144	0.9641426664
303	0.127738802	0.9641808125
304	0.1277342949	0.9642189586
305	0.127680777	0.964371543
306	0.1276436092	0.9642571047
307	0.1276359544	0.9642571047
308	0.1276338837	0.9642571047
309	0.127618802	0.9642952508
310	0.1273775078	0.9642952508
311	0.1273521338	0.9642952508
312	0.1273033253	0.9644478352
313	0.1272811105	0.9644096891
314	0.1272730975	0.9644096891
315	0.1272727546	0.9644096891
316	0.1272177836	0.9644096891
317	0.1272133348	0.9642571047
318	0.1272023622	0.9642571047
319	0.1271645047	0.9643333969
320	0.1270996675	0.9642571047
321	0.1270407929	0.9642571047
322	0.1270004148	0.9644478352
323	0.1269800402	0.9644478352
324	0.1268101906	0.9645241274
325	0.1266784744	0.9644478352
326	0.1265037089	0.9644478352
327	0.1264968064	0.9644859813
328	0.1264822159	0.9645241274
329	0.1263851082	0.9646385657
330	0.1262596834	0.9646385657
331	0.1260376332	0.9647148579
332	0.1258247275	0.9649818806
333	0.125777539	0.9650200267
334	0.1257648559	0.9649818806
335	0.1256683742	0.9650581728
336	0.1255740539	0.9650200267
337	0.1253703165	0.9649818806
338	0.1251661337	0.9650963189
339	0.1251230513	0.9651726111
340	0.1249773191	0.9650963189
341	0.1249145103	0.9651726111
342	0.1249019384	0.9652107572
343	0.1247400867	0.9652489033
344	0.1243171105	0.965134465
345	0.1243010317	0.965134465
346	0.124268038	0.9650581728
347	0.1242387834	0.9651726111
348	0.1240874421	0.9654396338
349	0.1240845631	0.9654396338
350	0.1239948255	0.9654777799
351	0.1239767171	0.965515926
352	0.123928108	0.9655922182
353	0.1238836714	0.9657066565
354	0.1237419579	0.9657448026
355	0.1236640762	0.9660118253
356	0.1236386008	0.9660118253
357	0.1236149715	0.9659736792
358	0.1236100652	0.9660118253
359	0.1234791471	0.9659355331
360	0.1234365699	0.965897387
361	0.1233681354	0.965897387
362	0.1232924317	0.9657829487
363	0.1232873564	0.9657829487
364	0.1232143607	0.9658592409
365	0.1230850649	0.9660118253
366	0.1230789864	0.9661262636
367	0.1229765322	0.9659355331
368	0.1229601563	0.9659736792
369	0.1228902374	0.9660118253
370	0.1228431998	0.9660118253
371	0.1228205654	0.9659736792
372	0.1227795848	0.965897387
373	0.1227415155	0.9658592409
374	0.1227359482	0.9658592409
375	0.1227309036	0.965897387
376	0.1227264724	0.9659355331
377	0.1226959497	0.9659355331
378	0.1226859088	0.9659355331
379	0.1226466365	0.9659736792
380	0.1226259328	0.9659736792
381	0.1226251461	0.9659736792
382	0.1225925929	0.9660499714
383	0.1225746074	0.9660118253
384	0.1225620592	0.9660118253
385	0.1225046873	0.9660881175
386	0.1224227945	0.9660499714
387	0.1223696303	0.9660881175
388	0.1222840152	0.9660118253
389	0.1222772947	0.9660499714
390	0.1222589727	0.9660499714
391	0.1222198485	0.9660499714
392	0.1221695983	0.9660881175
393	0.1220628119	0.9660499714
394	0.1218549682	0.9662407019
395	0.1218454876	0.966278848
396	0.1217945955	0.9663169941
397	0.121702409	0.9662025558
398	0.121498519	0.966278848
399	0.1214867364	0.9663169941
400	0.1213678029	0.9663169941
401	0.1212963723	0.9663932863
